Tested,Results,Files
flickr_1_B_ball_1107246521_d16a476380_1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3516825206_5750824874.jpg', '3502343542_f9b46688e5.jpg', '241347204_007d83e252.jpg', '241345844_69e1c22464.jpg', '1472230829_803818a383.jpg', '1224851143_33bcdd299c.jpg', '241345905_5826a72da1.jpg', '2120411340_104eb610b1.jpg', '561940436_64d6fc125d.jpg', '2985679744_75a7102aab.jpg']"
flickr_1_B_ball_1402640441_81978e32a9_1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2985679744_75a7102aab.jpg', '2616643090_4f2d2d1a44.jpg', '2621415349_ef1a7e73be.jpg', '2256133102_e2c8314ecb.jpg', '197107117_4b438b1872.jpg', '3399284917_721aefe2a7.jpg', '1224851143_33bcdd299c.jpg', '3167365436_c379bda282.jpg', '1561658940_a947f2446a.jpg', '114051287_dd85625a04.jpg']"
flickr_1_B_ball_1402640441_81978e32a9_2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2196107384_361d73a170.jpg', '2480850054_de3433b54a.jpg', '2061144717_5b3a1864f0.jpg', '3569406219_f37ebf7b92.jpg', '2610447973_89227ff978.jpg', '3225310099_d8e419ba56.jpg', '3213992947_3f3f967a9f.jpg', '3571147934_d1c8af1d6e.jpg', '223299142_521aedf9e7.jpg', '2806710650_e201acd913.jpg']"
flickr_1_B_ball_1402640441_81978e32a9_3,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","['2333288869_8c01e4c859.jpg', '3155451946_c0862c70cb.jpg', '3364026240_645d533fda.jpg', '3490736665_38710f4b91.jpg', '3072172967_630e9c69d0.jpg', '2061354254_faa5bd294b.jpg', '241345844_69e1c22464.jpg', '3234115903_f4dfc8fc75.jpg', '3416091866_a96003d652.jpg', '3217620013_8b17873273.jpg']"
flickr_1_B_ball_1402640441_81978e32a9_4,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","['241346508_0b3907a95b.jpg', '3317073508_7e13565c1b.jpg', '2581066814_179d28f306.jpg', '241346971_c100650320.jpg', '241345844_69e1c22464.jpg', '3232470286_903a61ea16.jpg', '241347204_007d83e252.jpg', '180094434_b0f244832d.jpg', '2933637854_984614e18b.jpg', '2450299735_62c095f40e.jpg']"
flickr_1_B_ball_1425069308_488e5fcf9d_0,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]","['3364026240_645d533fda.jpg', '3234115903_f4dfc8fc75.jpg', '3072172967_630e9c69d0.jpg', '3217620013_8b17873273.jpg', '3155451946_c0862c70cb.jpg', '3715469645_6d1dc019b3.jpg', '2196846255_2c1635359a.jpg', '3218480482_66af7587c8.jpg', '3490736665_38710f4b91.jpg', '2204550058_2707d92338.jpg']"
flickr_1_B_ball_1425069308_488e5fcf9d_1,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]","['2501595799_6316001e89.jpg', '2450299735_62c095f40e.jpg', '2475162978_2c51048dca.jpg', '3677318686_b018862bb7.jpg', '1287475186_2dee85f1a5.jpg', '2706766641_a9df81969d.jpg', '2587818583_4aa8e7b174.jpg', '1237985362_dbafc59280.jpg', '2505988632_9541f15583.jpg', '2913965136_2d00136697.jpg']"
flickr_1_B_ball_1425069308_488e5fcf9d_2,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","['3234115903_f4dfc8fc75.jpg', '2526041608_a9775ab8d7.jpg', '2933637854_984614e18b.jpg', '2396025708_e4a72e2558.jpg', '540721368_12ac732c6c.jpg', '2251747182_6b67a3ab8b.jpg', '2926595608_69b22be8d4.jpg', '3413571342_b9855795e2.jpg', '2021613437_d99731f986.jpg', '2333288869_8c01e4c859.jpg']"
flickr_1_B_ball_1425069308_488e5fcf9d_3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2644430445_47c985a2ee.jpg', '241345844_69e1c22464.jpg', '241345905_5826a72da1.jpg', '241345811_46b5f157d4.jpg', '561940436_64d6fc125d.jpg', '3715469645_6d1dc019b3.jpg', '3364861247_d590fa170d.jpg', '2308978137_bfe776d541.jpg', '241347204_007d83e252.jpg', '2216695423_1362cb25f3.jpg']"
flickr_1_B_ball_1425069308_488e5fcf9d_4,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]","['3234115903_f4dfc8fc75.jpg', '3301811927_a2797339e5.jpg', '2933637854_984614e18b.jpg', '3490736665_38710f4b91.jpg', '241345844_69e1c22464.jpg', '3155451946_c0862c70cb.jpg', '3217620013_8b17873273.jpg', '3218480482_66af7587c8.jpg', '241347204_007d83e252.jpg', '2553550034_5901aa9d6c.jpg']"
flickr_1_B_ball_1523984678_edd68464da_0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['180094434_b0f244832d.jpg', '2450299735_62c095f40e.jpg', '3497224764_6e17544e0d.jpg', '2581066814_179d28f306.jpg', '3232470286_903a61ea16.jpg', '3217266166_4e0091860b.jpg', '2660008870_b672a4c76a.jpg', '300577375_26cc2773a1.jpg', '2813033949_e19fa08805.jpg', '2559503010_84f20b3bc9.jpg']"
flickr_1_B_ball_1523984678_edd68464da_1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2644430445_47c985a2ee.jpg', '3100251515_c68027cc22.jpg', '2218609886_892dcd6915.jpg', '2985679744_75a7102aab.jpg', '2309860995_c2e2a0feeb.jpg', '2182488373_df73c7cc09.jpg', '324208502_674488bcea.jpg', '3121521593_18f0ec14f7.jpg', '2623930900_b9df917b82.jpg', '3715469645_6d1dc019b3.jpg']"
flickr_1_B_ball_1523984678_edd68464da_2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['2933637854_984614e18b.jpg', '3490736665_38710f4b91.jpg', '3234115903_f4dfc8fc75.jpg', '2660008870_b672a4c76a.jpg', '1287475186_2dee85f1a5.jpg', '2844641033_dab3715a99.jpg', '1167669558_87a8a467d6.jpg', '2458269558_277012780d.jpg', '2616643090_4f2d2d1a44.jpg', '2224450291_4c133fabe8.jpg']"
flickr_1_B_ball_1523984678_edd68464da_3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['540721368_12ac732c6c.jpg', '2901880865_3fd7b66a45.jpg', '2559503010_84f20b3bc9.jpg', '3162045919_c2decbb69b.jpg', '2396025708_e4a72e2558.jpg', '2933637854_984614e18b.jpg', '3135504530_0f4130d8f8.jpg', '3159995270_17334ccb5b.jpg', '241347760_d44c8d3a01.jpg', '2985679744_75a7102aab.jpg']"
flickr_1_B_ball_1523984678_edd68464da_4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['3275704430_a75828048f.jpg', '3155451946_c0862c70cb.jpg', '2204550058_2707d92338.jpg', '3167365436_c379bda282.jpg', '241345811_46b5f157d4.jpg', '2096771662_984441d20d.jpg', '270816949_ffad112278.jpg', '241345844_69e1c22464.jpg', '1765164972_92dac06fa9.jpg', '2621415349_ef1a7e73be.jpg']"
flickr_1_B_ball_154871781_ae77696b77_0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2715035273_8fc8b1291c.jpg', '561940436_64d6fc125d.jpg', '3490736665_38710f4b91.jpg', '241345844_69e1c22464.jpg', '3100251515_c68027cc22.jpg', '2218609886_892dcd6915.jpg', '300577375_26cc2773a1.jpg', '3359551687_68f2f0212a.jpg', '2196316998_3b2d63f01f.jpg', '2933637854_984614e18b.jpg']"
flickr_1_B_ball_154871781_ae77696b77_1,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","['3072172967_630e9c69d0.jpg', '3217620013_8b17873273.jpg', '3218480482_66af7587c8.jpg', '3234115903_f4dfc8fc75.jpg', '3053743109_a2d780c0d2.jpg', '241347204_007d83e252.jpg', '2894217628_f1a4153dca.jpg', '2396025708_e4a72e2558.jpg', '3259666643_ae49524c81.jpg', '3222055946_45f7293bb2.jpg']"
flickr_1_B_ball_154871781_ae77696b77_3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['3167365436_c379bda282.jpg', '270816949_ffad112278.jpg', '241345844_69e1c22464.jpg', '2096771662_984441d20d.jpg', '3155451946_c0862c70cb.jpg', '1765164972_92dac06fa9.jpg', '241345811_46b5f157d4.jpg', '2621415349_ef1a7e73be.jpg', '150387174_24825cf871.jpg', '3275704430_a75828048f.jpg']"
