Tested,Results,Files
flickr_ball_1107246521_d16a476380_1_ball,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","['3720366614_dfa8fe1088.jpg', '3456362961_d8f7e347a8.jpg', '3677318686_b018862bb7.jpg', '2587818583_4aa8e7b174.jpg', '2398605966_1d0c9e6a20.jpg', '2608289957_044849f73e.jpg', '2370481277_a3085614c9.jpg', '3433982387_3fa993cf5a.jpg', '2089426086_7acc98a3a8.jpg', '2966552760_e65b22cd26.jpg']"
flickr_ball_1402640441_81978e32a9_1_ball,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","['3655964639_21e76383d0.jpg', '2162564553_96de62c7e6.jpg', '1389264266_8170bc1c54.jpg', '279728508_6bd7281f3c.jpg', '3246991821_750a3097e2.jpg', '1764955991_5e53a28c87.jpg', '1402640441_81978e32a9.jpg', '3393926562_66cc01b001.jpg', '300550441_f44ec3701a.jpg', '2225231022_1632d0a5aa.jpg']"
flickr_ball_1402640441_81978e32a9_2_ball,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '1096395242_fc69f0ae5a.jpg', '3686924335_3c51e8834a.jpg', '2160266952_a2ab39191b.jpg', '2913965136_2d00136697.jpg', '2251747182_6b67a3ab8b.jpg', '197504190_fd1fc3d4b7.jpg']"
flickr_ball_1402640441_81978e32a9_3_ball,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '1096395242_fc69f0ae5a.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3686924335_3c51e8834a.jpg', '3259666643_ae49524c81.jpg', '2913965136_2d00136697.jpg', '3433982387_3fa993cf5a.jpg']"
flickr_ball_1402640441_81978e32a9_4_ball,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['1714316707_8bbaa2a2ba.jpg', '2089426086_7acc98a3a8.jpg', '3456362961_d8f7e347a8.jpg', '3429956016_3c7e3096c2.jpg', '3686924335_3c51e8834a.jpg', '2343525685_3eba3b6686.jpg', '3677318686_b018862bb7.jpg', '2949982320_c704b31626.jpg', '3720366614_dfa8fe1088.jpg', '3433982387_3fa993cf5a.jpg']"
flickr_ball_1425069308_488e5fcf9d_0_ball,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","['2160266952_a2ab39191b.jpg', '3433982387_3fa993cf5a.jpg', '3677318686_b018862bb7.jpg', '2991994415_504d1c0a03.jpg', '3538213870_9856a76b2a.jpg', '3727752439_907795603b.jpg', '3456362961_d8f7e347a8.jpg', '1402640441_81978e32a9.jpg', '197504190_fd1fc3d4b7.jpg', '1714316707_8bbaa2a2ba.jpg']"
flickr_ball_1425069308_488e5fcf9d_1_ball,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2343525685_3eba3b6686.jpg', '1402640441_81978e32a9.jpg', '2120383553_5825333a3f.jpg', '2224450291_4c133fabe8.jpg', '1714316707_8bbaa2a2ba.jpg', '3433982387_3fa993cf5a.jpg', '3246991821_750a3097e2.jpg']"
flickr_ball_1425069308_488e5fcf9d_2_ball,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '2224450291_4c133fabe8.jpg', '2343525685_3eba3b6686.jpg', '1714316707_8bbaa2a2ba.jpg', '3727752439_907795603b.jpg', '3686924335_3c51e8834a.jpg', '3208074567_ac44aeb3f3.jpg', '3720366614_dfa8fe1088.jpg', '3767841911_6678052eb6.jpg']"
flickr_ball_1425069308_488e5fcf9d_3_ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3393926562_66cc01b001.jpg', '3655964639_21e76383d0.jpg', '3456362961_d8f7e347a8.jpg', '1389264266_8170bc1c54.jpg', '1714316707_8bbaa2a2ba.jpg', '300550441_f44ec3701a.jpg', '3003691049_f4363c2d5c.jpg', '3208074567_ac44aeb3f3.jpg', '2225231022_1632d0a5aa.jpg', '2309860995_c2e2a0feeb.jpg']"
flickr_ball_1425069308_488e5fcf9d_4_ball,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '2089426086_7acc98a3a8.jpg', '3433982387_3fa993cf5a.jpg', '2913965136_2d00136697.jpg', '197504190_fd1fc3d4b7.jpg', '3375549004_beee810e60.jpg']"
