Tested,Results,Files
flickr_ball_1107246521_d16a476380_1,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '2370481277_a3085614c9.jpg', '3498997518_c2b16f0a0e.jpg', '1402640441_81978e32a9.jpg', '2587818583_4aa8e7b174.jpg', '2160266952_a2ab39191b.jpg', '241347204_007d83e252.jpg', '2089426086_7acc98a3a8.jpg']"
flickr_ball_1402640441_81978e32a9_1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","['3003691049_f4363c2d5c.jpg', '3393926562_66cc01b001.jpg', '1679617928_a73c1769be.jpg', '3655964639_21e76383d0.jpg', '1897025969_0c41688fa6.jpg', '1389264266_8170bc1c54.jpg', '370614351_98b8a166b9.jpg', '197504190_fd1fc3d4b7.jpg', '2370481277_a3085614c9.jpg', '3375549004_beee810e60.jpg']"
flickr_ball_1402640441_81978e32a9_2,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3456362961_d8f7e347a8.jpg', '2089426086_7acc98a3a8.jpg', '3686924335_3c51e8834a.jpg', '2251747182_6b67a3ab8b.jpg', '1096395242_fc69f0ae5a.jpg', '197504190_fd1fc3d4b7.jpg', '2224450291_4c133fabe8.jpg', '3218480482_66af7587c8.jpg']"
flickr_ball_1402640441_81978e32a9_3,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2251747182_6b67a3ab8b.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '1096395242_fc69f0ae5a.jpg', '3433982387_3fa993cf5a.jpg', '3218480482_66af7587c8.jpg', '2608289957_044849f73e.jpg']"
flickr_ball_1402640441_81978e32a9_4,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '3433982387_3fa993cf5a.jpg', '2089426086_7acc98a3a8.jpg', '3720366614_dfa8fe1088.jpg', '2587818583_4aa8e7b174.jpg', '197504190_fd1fc3d4b7.jpg', '1714316707_8bbaa2a2ba.jpg', '2120383553_5825333a3f.jpg']"
flickr_ball_1425069308_488e5fcf9d_0,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '2160266952_a2ab39191b.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '197504190_fd1fc3d4b7.jpg', '2089426086_7acc98a3a8.jpg', '1523984678_edd68464da.jpg', '2991994415_504d1c0a03.jpg', '1714316707_8bbaa2a2ba.jpg']"
flickr_ball_1425069308_488e5fcf9d_1,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2120383553_5825333a3f.jpg', '2343525685_3eba3b6686.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '2224450291_4c133fabe8.jpg', '1714316707_8bbaa2a2ba.jpg', '1096395242_fc69f0ae5a.jpg']"
flickr_ball_1425069308_488e5fcf9d_2,"[1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '1402640441_81978e32a9.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '2089426086_7acc98a3a8.jpg', '2913965136_2d00136697.jpg', '1523984678_edd68464da.jpg']"
flickr_ball_1425069308_488e5fcf9d_3,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]","['2370481277_a3085614c9.jpg', '3429956016_3c7e3096c2.jpg', '3456362961_d8f7e347a8.jpg', '3208074567_ac44aeb3f3.jpg', '197504190_fd1fc3d4b7.jpg', '1356796100_b265479721.jpg', '1714316707_8bbaa2a2ba.jpg', '3677318686_b018862bb7.jpg', '3502343542_f9b46688e5.jpg', '3498997518_c2b16f0a0e.jpg']"
flickr_ball_1425069308_488e5fcf9d_4,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]","['3677318686_b018862bb7.jpg', '2251747182_6b67a3ab8b.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '3433982387_3fa993cf5a.jpg', '2089426086_7acc98a3a8.jpg', '3259666643_ae49524c81.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '1523984678_edd68464da.jpg']"
flickr_ball_1523984678_edd68464da_0,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '3433982387_3fa993cf5a.jpg', '197504190_fd1fc3d4b7.jpg', '3456362961_d8f7e347a8.jpg', '2089426086_7acc98a3a8.jpg', '2343525685_3eba3b6686.jpg', '2913965136_2d00136697.jpg', '2370481277_a3085614c9.jpg']"
