Tested,Results,Files
flickr_air_1311388430_4ab0cd1a1f_1,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2192131110_8a40e7c028.jpg', '3568197730_a071d7595b.jpg', '2351479551_e8820a1ff3.jpg', '2307118114_c258e3a47e.jpg', '2971431335_e192613db4.jpg', '2928152792_b16c73434a.jpg', '2473689180_e9d8fd656a.jpg', '300314926_0b2e4b64f5.jpg']"
flickr_air_1425069308_488e5fcf9d_0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","['2351479551_e8820a1ff3.jpg', '2496370758_a3fbc49837.jpg', '2884420269_225d27f242.jpg', '3167365436_c379bda282.jpg', '3138399980_d6ab8b2272.jpg', '3256275785_9c3af57576.jpg', '997722733_0cb5439472.jpg', '3109704348_c6416244ce.jpg', '2480850054_de3433b54a.jpg', '2994179598_a45c2732b5.jpg']"
flickr_air_1425069308_488e5fcf9d_3,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['2971431335_e192613db4.jpg', '2480850054_de3433b54a.jpg', '2649406158_ded6be38de.jpg', '3214573346_d3a57f0328.jpg', '3203908917_53e53c03d1.jpg', '2518508760_68d8df7365.jpg', '3258874419_23fec1bdc1.jpg', '2868575889_2c030aa8ae.jpg', '2610447973_89227ff978.jpg', '57422853_b5f6366081.jpg']"
flickr_air_197107117_4b438b1872_4,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]","['2518508760_68d8df7365.jpg', '2649406158_ded6be38de.jpg', '2971431335_e192613db4.jpg', '2192131110_8a40e7c028.jpg', '2351479551_e8820a1ff3.jpg', '3568197730_a071d7595b.jpg', '3258874419_23fec1bdc1.jpg', '766099402_cdda6964f0.jpg', '2306674172_dc07c7f847.jpg', '2641770481_c98465ff35.jpg']"
flickr_air_2100816230_ff866fb352_3,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2192131110_8a40e7c028.jpg', '2868575889_2c030aa8ae.jpg', '2682382530_f9f8fd1e89.jpg', '300314926_0b2e4b64f5.jpg', '2971431335_e192613db4.jpg', '245895500_a4eb97af02.jpg', '1404832008_68e432665b.jpg', '3258874419_23fec1bdc1.jpg']"
flickr_air_2289068031_fe26990183_4,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2351479551_e8820a1ff3.jpg', '2971431335_e192613db4.jpg', '3568197730_a071d7595b.jpg', '3258874419_23fec1bdc1.jpg', '766099402_cdda6964f0.jpg', '2306674172_dc07c7f847.jpg', '2641770481_c98465ff35.jpg', '3203908917_53e53c03d1.jpg']"
flickr_air_2295750198_6d152d7ceb_2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['2061354254_faa5bd294b.jpg', '2351479551_e8820a1ff3.jpg', '2928152792_b16c73434a.jpg', '2192131110_8a40e7c028.jpg', '2884420269_225d27f242.jpg', '3154641421_d1b9b8c24c.jpg', '1509786421_f03158adfc.jpg', '3155451946_c0862c70cb.jpg', '3544793763_b38546a5e8.jpg', '2021613437_d99731f986.jpg']"
flickr_air_2306674172_dc07c7f847_1,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '2480850054_de3433b54a.jpg', '3325497914_f9014d615b.jpg', '3203908917_53e53c03d1.jpg', '2610447973_89227ff978.jpg', '3558370311_5734a15890.jpg', '3459156091_c1879ebe28.jpg', '3258874419_23fec1bdc1.jpg', '2306674172_dc07c7f847.jpg']"
flickr_air_2351479551_e8820a1ff3_0,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '3258874419_23fec1bdc1.jpg', '300314926_0b2e4b64f5.jpg', '2994179598_a45c2732b5.jpg', '2192131110_8a40e7c028.jpg', '2971431335_e192613db4.jpg', '2924259848_effb4dcb82.jpg', '2682382530_f9f8fd1e89.jpg', '2307118114_c258e3a47e.jpg']"
flickr_air_2351479551_e8820a1ff3_0_1,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]","['2351479551_e8820a1ff3.jpg', '2518508760_68d8df7365.jpg', '2649406158_ded6be38de.jpg', '2192131110_8a40e7c028.jpg', '2928152792_b16c73434a.jpg', '3568197730_a071d7595b.jpg', '2971431335_e192613db4.jpg', '766099402_cdda6964f0.jpg', '1404832008_68e432665b.jpg', '2473689180_e9d8fd656a.jpg']"
