WordInstance,OriginalWord,MfccLength,WordAvgMfccLength,Precision@10,NofPhonemes,WordLength,NofVowels,NofConsonants,inimagenet,SpeakingSpeed
air_1311388430_4ab0cd1a1f_1,air,23.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08695652173913043
air_1425069308_488e5fcf9d_0,air,39.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05128205128205128
air_1425069308_488e5fcf9d_3,air,25.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08
air_197107117_4b438b1872_4,air,25.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08
air_2100816230_ff866fb352_3,air,30.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06666666666666667
air_2289068031_fe26990183_4,air,33.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06060606060606061
air_2295750198_6d152d7ceb_2,air,41.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.04878048780487805
air_2306674172_dc07c7f847_1,air,19.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.10526315789473684
air_2351479551_e8820a1ff3_0,air,16.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.125
air_2351479551_e8820a1ff3_0,air,36.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05555555555555555
air_2351479551_e8820a1ff3_3,air,52.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.038461538461538464
air_2461616306_3ee7ac1b4b_0,air,20.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.1
air_2594902417_f65d8866a8_2,air,30.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06666666666666667
air_2646046871_c3a5dbb971_3,air,26.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.07692307692307693
air_2646046871_c3a5dbb971_4,air,33.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06060606060606061
