,Word,Phoneme Sequence
0,dog,"['D', 'AO', 'G']"
1,man,"['M', 'AE', 'N']"
2,boy,"['B', 'OY']"
3,girl,"['G', 'ER', 'L']"
4,woman,"['W', 'UH', 'M', 'AX', 'N']"
5,people,"['P', 'IY', 'P', 'XL']"
6,dogs,"['D', 'AO', 'G', 'Z']"
7,shirt,"['SH', 'ER', 'T']"
8,child,"['CH', 'AY', 'L', 'D']"
9,ball,"['B', 'AO', 'L']"
10,person,"['P', 'ER', 'S', 'AX', 'N']"
11,children,"['CH', 'IH', 'L', 'D', 'R', 'AX', 'N']"
12,men,"['M', 'EH', 'N']"
13,girls,"['G', 'ER', 'L', 'Z']"
14,bike,"['B', 'AY', 'K']"
15,rock,"['R', 'AA', 'K']"
16,camera,"['K', 'AE', 'M', 'AXR', 'AX']"
17,boys,"['B', 'OY', 'Z']"
18,hat,"['HH', 'AE', 'T']"
19,player,"['P', 'L', 'EY', 'AXR']"
20,jacket,"['JH', 'AE', 'K', 'IH', 'T']"
21,basketball,"['B', 'AE', 'S', 'K', 'IH', 'T', 'B', 'AO', 'L']"
22,swing,"['S', 'W', 'IH', 'NG']"
23,car,"['K', 'AA', 'R']"
24,wall,"['W', 'AO', 'L']"
25,hair,"['HH', 'EY', 'R']"
26,football,"['F', 'UH', 'T', 'B', 'AO', 'L']"
27,sunglasses,"['S', 'AH', 'N', 'G', 'L', 'AE', 'S', 'AX', 'Z']"
28,head,"['HH', 'EH', 'D']"
29,shorts,"['SH', 'AO', 'R', 'T', 'S']"
30,dress,"['D', 'R', 'EH', 'S']"
31,table,"['T', 'EY', 'B', 'XL']"
32,water,"['W', 'AO', 'T', 'AXR']"
33,grass,"['G', 'R', 'AE', 'S']"
34,bench,"['B', 'EH', 'N', 'CH']"
35,snow,"['S', 'N', 'OW']"
36,air,"['EY', 'R']"
37,field,"['F', 'IY', 'L', 'D']"
38,street,"['S', 'T', 'R', 'IY', 'T']"
39,mouth,"['M', 'AW', 'TH']"
40,dirt,"['D', 'ER', 'T']"
41,mountain,"['M', 'AW', 'N', 'T', 'AX', 'N']"
42,pool,"['P', 'UW', 'L']"
43,ocean,"['OW', 'SH', 'AX', 'N']"
44,sand,"['S', 'AE', 'N', 'D']"
45,building,"['B', 'IH', 'L', 'D', 'IX', 'NG']"
46,soccer,"['S', 'AA', 'K', 'AXR']"
47,park,"['P', 'AA', 'R', 'K']"
48,face,"['F', 'EY', 'S']"
